Date,BTC,ETH,XRP,XLM,LTC,ADA
2018-09-10,6312,197.15,0.27,0.19011,54.34,null
2018-09-11,6294.91,185.18,0.26314,0.20071,52.04,null
2018-09-12,6338.62,183.12,0.2699,0.19672,51.69,null
2018-09-13,6487.38,210.68,0.27933,0.2058,54.44,null
2018-09-14,6476.63,208.82,0.27571,0.20012,56.24,null
2018-09-15,6514.96,221.29,0.28031,0.20204,56.22,null
2018-09-16,6505,220.17,0.28122,0.2058,56.75,null
2018-09-17,6248.69,196.16,0.2706,0.19521,52.07,null
2018-09-18,6336.45,208.17,0.31897,0.20666,53.96,null
2018-09-19,6391.89,209.79,0.32679,0.20632,54.27,null
2018-09-20,6492,224,0.44819,0.23216,56.53,null
2018-09-21,6759.02,247.73,0.56405,0.24808,60.83,null
2018-09-22,6723.05,241.01,0.57368,0.24047,60.65,null
2018-09-23,6708,244.5,0.5719,0.28163,61.38,null
2018-09-24,6581.39,228.06,0.49358,0.25856,58.01,null
2018-09-25,6447.54,219.62,0.5256,0.253,57.61,null
2018-09-26,6465.12,214.42,0.513,0.24353,57.18,null
2018-09-27,6689.13,229.13,0.54305,0.26009,63.28,null
2018-09-28,6634.58,221.84,0.54025,0.25325,61.95,null
2018-09-29,6596.38,231.62,0.56876,0.2543,61.61,null
2018-09-30,6626.57,232.94,0.58257,0.2599,61.21,null
2018-10-01,6611.61,231.61,0.5776,0.25883,60.45,null
2018-10-02,6525.79,225.69,0.51692,0.24662,59.46,null
2018-10-03,6510,220.77,0.5293,0.2419,57.56,null
2018-10-04,6593.79,222.66,0.5294,0.2443,58.42,null
2018-10-05,6635.65,228.37,0.5211,0.24767,58.93,null
2018-10-06,6594.27,225.4,0.48964,0.24145,57.96,null
2018-10-07,6615.26,226.14,0.48269,0.24535,58.33,null
2018-10-08,6673.01,230.01,0.49335,0.24998,59.66,null
2018-10-09,6656.61,228.4,0.48199,0.2481,59.03,null
2018-10-10,6631,226.74,0.46605,0.24306,58.46,null
2018-10-11,6252.68,191.58,0.38315,0.2071,51.36,null
2018-10-12,6298.01,196.96,0.42071,0.21563,53.74,null
2018-10-13,6332.93,201.3,0.4227,0.21624,54.05,null
2018-10-14,6339.34,197.01,0.40994,0.21102,52.61,null
2018-10-15,6752.5,214.39,0.46168,0.22943,56.16,null
2018-10-16,6759.27,215.09,0.48352,0.23675,55.54,null
2018-10-17,6740.89,212.85,0.48437,0.24971,55.27,null
2018-10-18,6618.96,206.24,0.4675,0.24556,53.53,null
2018-10-19,6528.88,205,0.46077,0.25008,53.71,null
2018-10-20,6588.4,207.91,0.46788,0.25185,54.28,null
2018-10-21,6590.11,207.49,0.46458,0.24731,53.61,null
2018-10-22,6581.2,206.67,0.46192,0.24851,53.12,null
2018-10-23,6553.51,205.85,0.47006,0.24555,53.33,null
2018-10-24,6565.5,205.35,0.46402,0.24113,53.11,null
2018-10-25,6528.09,203.93,0.46351,0.23836,52.84,null
2018-10-26,6538.63,204.92,0.46657,0.2371,52.56,null
2018-10-27,6505.6,204.45,0.46012,0.23113,52.25,null
2018-10-28,6489.93,204.99,0.46472,0.23453,52.07,null
