Date,BTC,ETH,XRP,XLM,LTC,ADA
2018-08-24,6725,283.1,0.329,0.22,58.36,0.0945
2018-08-25,6789,282.71,0.332,0.22016,58.38,0.09496
2018-08-26,6775.27,277.91,0.32912,0.21878,58.08,0.09467
2018-08-27,6940.51,288.15,0.34062,0.22759,61.17,0.10157
2018-08-28,7135,298,0.35809,0.24037,63.74,0.10749
2018-08-29,7133.81,297,0.3556,0.23674,63.4,0.10919
2018-08-30,7063.63,291,0.3466,0.228,61.65,0.10753
2018-08-31,7089,289,0.349,0.22452,62.75,0.10343
2018-09-01,7275,302,0.35517,0.2356,67.93,0.11032
2018-09-02,7345.45,299.33,0.34918,0.23263,67.3,0.10771
2018-09-03,7338.28,296.62,0.34387,0.22674,66.55,0.1055
2018-09-04,7410,292.64,0.34157,0.23554,69.45,0.10709
2018-09-05,7397.3,287.62,0.334,0.23476,68.36,0.10621
2018-09-06,6725,233.19,0.307,0.21083,57.89,0.08877
2018-09-07,6544,234.69,0.30445,0.2129,58.53,0.08946
2018-09-08,6478,220.2,0.294,0.2084,57.22,0.0844
2018-09-09,6441,208.6,0.2908,0.19989,56.72,0.08097
2018-09-10,6373.98,203.42,0.28263,0.19486,56.59,0.07867
2018-09-11,6404,200.2,0.276,0.2107,54.75,0.07475
2018-09-12,6360,185.22,0.27413,0.2085,52.14,0.07036
2018-09-13,6535,215,0.28641,0.21264,55.49,0.07181
2018-09-14,6584.99,224.2,0.2867,0.20968,59,0.07077
2018-09-15,6565.45,227.42,0.28489,0.20621,58.73,0.07068
2018-09-16,6524.62,223.5,0.28229,0.20932,57.55,0.07
2018-09-17,6533.84,225,0.28373,0.20982,57.85,0.07023
2018-09-18,6390,215.47,0.337,0.21565,55.52,0.07012
2018-09-19,6517.7,214.84,0.337,0.2115,55.28,0.07441
2018-09-20,6540,226.68,0.492,0.2455,57.42,0.08389
2018-09-21,6784.86,252.11,0.8,0.28047,62.73,0.09035
2018-09-22,6839.03,255.13,0.63,0.252,61.9,0.08913
2018-09-23,6788.23,249.73,0.59975,0.30462,63.82,0.0939
2018-09-24,6730,246.2,0.5831,0.2835,61.56,0.09197
2018-09-25,6584.01,228.1,0.549,0.2591,58.16,0.08246
2018-09-26,6557.99,223.6,0.57299,0.2588,59.85,0.08311
2018-09-27,6750,234,0.555,0.26582,65.67,0.0889
2018-09-28,6814.8,234.42,0.55,0.265,65,0.0885
2018-09-29,6636,237.77,0.5968,0.2619,62.34,0.0868
2018-09-30,6662,239,0.62604,0.26422,63,0.0874
2018-10-01,6667.09,235.88,0.6059,0.26473,62.09,0.087
2018-10-02,6640,232.51,0.58038,0.26091,61.8,0.0851
2018-10-03,6549,226.43,0.5388,0.24917,59.66,0.08248
2018-10-04,6643.46,227.16,0.54999,0.25,59.4,0.08319
2018-10-05,6697,231.75,0.53331,0.25,59.85,0.0845
2018-10-06,6651,228.86,0.5226,0.2483,59.17,0.08411
2018-10-07,6640,227.75,0.49149,0.24569,58.64,0.08558
2018-10-08,6715.6,232.7,0.50449,0.25155,60.26,0.0889
2018-10-09,6685.38,231.02,0.49387,0.25134,59.84,0.08808
2018-10-10,6659.95,228.78,0.48171,0.24799,59.18,0.0869
2018-10-11,6633.92,226.91,0.46632,0.24337,58.66,0.08547
2018-10-12,6360,201.87,0.44953,0.222,54.26,0.0766
2018-10-13,6345,202.78,0.432,0.22023,54.88,0.07545
2018-10-14,6416,203.56,0.43057,0.21922,54.44,0.07459
2018-10-15,7680,239,0.52179,0.24999,61.86,0.08497
2018-10-16,6900,219.95,0.48896,0.23864,57.34,0.07884
2018-10-17,6811.12,216.99,0.49818,0.2537,55.72,0.08132
2018-10-18,6796,215.3,0.49408,0.2559,55.85,0.08069
2018-10-19,6648.14,208,0.473,0.25262,54.74,0.0779
2018-10-20,6617.65,209.69,0.47293,0.262,54.65,0.07876
2018-10-21,6663.9,211.99,0.47476,0.2559,54.9,0.07908
2018-10-22,6639,209.3,0.46901,0.25127,54.16,0.07785
2018-10-23,6595,207.8,0.48649,0.25298,53.97,0.07757
2018-10-24,6630,207.95,0.478,0.24822,53.92,0.07708
2018-10-25,6575.09,205.94,0.4731,0.24289,53.27,0.07564
2018-10-26,6600,209,0.471,0.24034,53.55,0.0754
2018-10-27,6558.35,206.15,0.4681,0.23792,53.08,0.07487
2018-10-28,6514.17,205.94,0.46695,0.23768,52.66,0.07392
2018-10-29,6505.01,205.49,0.46516,0.23584,52.26,0.07379
2018-10-30,6395,198.6,0.455,0.22798,49.96,0.07077
2018-10-31,6428,201.45,0.46097,0.22725,50.71,0.07199
2018-11-01,6442.65,200.95,0.462,0.22757,50.85,0.07198
2018-11-02,6460.34,203.74,0.46899,0.24298,52.2,0.0738
2018-11-03,6439.97,202.69,0.46449,0.24499,51.81,0.07331
2018-11-04,6525,218.76,0.47959,0.25018,56.33,0.07857
2018-11-05,6504.39,213.39,0.50644,0.24959,55.15,0.07946
2018-11-06,6531.31,221.25,0.56878,0.27099,56.88,0.08198
2018-11-07,6615.15,224.8,0.5555,0.2692,56.92,0.0826
2018-11-08,6594,220.78,0.5468,0.26891,55.12,0.08
2018-11-09,6511.53,215.51,0.5227,0.268,53.15,0.0782
2018-11-10,6475.55,215.55,0.51748,0.2659,53.08,0.07657
2018-11-11,6462.14,213.99,0.51233,0.281,52.57,0.07798
2018-11-12,6497,214.22,0.53499,0.2871,52.04,0.078
2018-11-13,6498,213.8,0.53464,0.27495,51.66,0.07715
2018-11-14,6482.84,210.3,0.52012,0.26184,51.08,0.0747
2018-11-15,5939.54,190,0.4947,0.25229,45.8,0.0669
2018-11-16,5782.89,185,0.49568,0.25292,44.95,0.06499
2018-11-17,5656.6,177.91,0.505,0.2509,42.94,0.06157
2018-11-18,5738.17,182.94,0.532,0.25865,43.84,0.06354
2018-11-19,5664,179.33,0.51695,0.25357,42.65,0.06246
2018-11-20,5048.24,154.7,0.50865,0.23626,38.8,0.05334
2018-11-21,4787.2,142.01,0.46947,0.21571,35.38,0.04971
2018-11-22,4721.77,140.4,0.45785,0.20877,35.68,0.04914
2018-11-23,4484,128.9,0.44376,0.192,33.81,0.0451
2018-11-24,4527,130.81,0.42878,0.18989,34.3,0.0454
2018-11-25,4233,122.35,0.39639,0.165,32.93,0.03965
2018-11-26,4206,121.5,0.39999,0.16774,32.88,0.04017
2018-11-27,3940,114.31,0.376,0.15095,32.16,0.03778
2018-11-28,4394.47,126.8,0.40319,0.16787,36.51,0.0442
2018-11-29,4450.38,124,0.395,0.17365,36,0.04487
2018-11-30,4341.36,120.26,0.38331,0.17456,34.53,0.0425
2018-12-01,4299.99,120.8,0.379,0.16998,35.1,0.0424
2018-12-02,4312.99,120.73,0.3799,0.16894,35.24,0.0434
2018-12-03,4179,116.96,0.371,0.16208,33.97,0.04214
2018-12-04,4085,113.2,0.36255,0.15413,32.25,0.04019
2018-12-05,3970,110.58,0.361,0.1473,31.4,0.03768
2018-12-06,3899.99,104.68,0.3455,0.13896,30.49,0.0359
2018-12-07,3549.99,96.9,0.312,0.126,26.94,0.031
2018-12-08,3495,98,0.325,0.1238,26.63,0.03246
2018-12-09,3658,98.7,0.31965,0.12631,26.75,0.03242
2018-12-10,3610,95.21,0.31377,0.12412,25.82,0.03199
2018-12-11,3480,91.65,0.31,0.11728,24.63,0.03013
2018-12-12,3492,91.31,0.31064,0.1153,24.98,0.03088
2018-12-13,3460,90.71,0.30569,0.1126,24.29,0.03067
2018-12-14,3335.39,87.25,0.3008,0.10517,23.76,0.0296
2018-12-15,3276.5,85,0.29149,0.09894,24.06,0.0286
2018-12-16,3294,87.64,0.2954,0.10088,26.96,0.02986
2018-12-17,3585,97,0.337,0.11303,30.3,0.03371
2018-12-18,3678.59,101.3,0.3498,0.114,30.15,0.03463
2018-12-19,3912.73,107.55,0.39265,0.1265,31.55,0.03808
2018-12-20,4120,116,0.38368,0.12551,32.76,0.03987
2018-12-21,4139.99,118,0.383,0.13307,32.87,0.04479
2018-12-22,3979,115.5,0.36,0.12242,31.49,0.04175
2018-12-23,4021.53,131.94,0.37784,0.1277,33.84,0.04444
2018-12-24,4198,157.67,0.45,0.14208,36.12,0.04899
